property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,floor_category,price
0.0,97.0,3.0,3.0,3.0,1.0,1282.0,0.0,0.0,0.0,2.0,0.58
0.0,1.0,3.0,3.0,3.0,3.0,1315.0,1.0,0.0,2.0,2.0,1.3
0.0,5.0,1.0,1.0,1.0,3.0,567.0,0.0,0.0,0.0,2.0,0.39
1.0,48.0,5.0,4.0,2.0,2.0,2367.0,0.0,0.0,0.0,1.0,3.5
0.0,95.0,3.0,3.0,3.0,3.0,1630.0,0.0,0.0,2.0,0.0,1.17
1.0,46.0,5.0,6.0,3.0,0.0,8250.0,1.0,0.0,0.0,2.0,22.0
0.0,106.0,2.0,2.0,4.0,0.0,1100.0,0.0,0.0,2.0,2.0,0.9
1.0,85.0,4.0,4.0,4.0,3.0,3900.0,1.0,0.0,1.0,2.0,7.0
1.0,38.0,1.0,1.0,2.0,3.0,800.0,0.0,0.0,0.0,2.0,1.8
1.0,47.0,2.0,6.0,3.0,0.0,1467.0,0.0,0.0,0.0,2.0,3.75
1.0,66.0,4.0,5.0,2.0,1.0,2250.0,1.0,0.0,0.0,2.0,8.7
0.0,46.0,3.0,3.0,1.0,3.0,1611.0,0.0,0.0,0.0,1.0,1.38
0.0,81.0,3.0,4.0,4.0,1.0,1947.0,1.0,0.0,0.0,0.0,1.85
0.0,100.0,4.0,4.0,0.0,4.0,3225.0,0.0,0.0,0.0,2.0,3.2
0.0,106.0,2.0,2.0,3.0,1.0,1223.0,0.0,0.0,0.0,1.0,0.91
0.0,97.0,3.0,3.0,4.0,3.0,1523.0,0.0,0.0,0.0,0.0,0.82
0.0,97.0,4.0,3.0,3.0,1.0,2106.0,1.0,0.0,0.0,2.0,1.83
0.0,67.0,4.0,4.0,4.0,3.0,3200.0,1.0,1.0,2.0,1.0,4.75
0.0,97.0,4.0,4.0,2.0,0.0,1585.0,0.0,1.0,1.0,1.0,0.87
0.0,74.0,3.0,4.0,2.0,3.0,1579.0,1.0,0.0,2.0,2.0,1.25
0.0,3.0,2.0,2.0,2.0,4.0,878.0,0.0,0.0,0.0,0.0,1.2
1.0,85.0,4.0,4.0,4.0,3.0,3240.0,1.0,1.0,0.0,2.0,5.0
0.0,104.0,4.0,4.0,4.0,3.0,5435.0,1.0,0.0,0.0,2.0,7.0
0.0,70.0,4.0,4.0,2.0,3.0,1821.0,0.0,0.0,0.0,1.0,1.68
0.0,84.0,3.0,4.0,4.0,3.0,2482.0,1.0,0.0,2.0,2.0,2.2
